label,sublabel,description,styles,bgcolor,,,,,,,,,,,,,,,,,,,,,
燃やすごみ,,,img/moyasu-test1.png,#ea3b13,,,,,,,,,,,,,,,,,,,,,
プラスチック資源,,,img/purashigen-test1.png,#733b96,,,,,,,,,,,,,,,,,,,,,
燃やせないごみ,,,img/moyasenai-test1.png,#733b96,,,,,,,,,,,,,,,,,,,,,
資源,,,img/shigen02.svg,#77ae1f,,,,,,,,,,,,,,,,,,,,,
